,datetime,sample_id,state
0,2000-01-01 02:43:03,336,Sick
1,2000-01-01 07:57:37,118,Sleeping
2,2000-01-01 12:54:42,490,Sleeping
3,2000-01-01 17:49:12,185,Sleeping
4,2000-01-01 21:59:42,173,Eating
5,2000-01-02 03:56:01,204,Sport
6,2000-01-02 04:32:24,411,Sick
7,2000-01-02 06:47:27,379,Sick
8,2000-01-02 16:38:20,92,Sleeping
9,2000-01-02 21:06:13,280,Work
10,2000-01-02 22:06:03,50,Sleeping
11,2000-01-02 22:18:14,419,Sleeping
12,2000-01-02 22:47:06,76,Sleeping
13,2000-01-02 23:13:19,58,Sick
14,2000-01-02 23:57:14,215,Sick
15,2000-01-03 09:06:40,250,Sleeping
16,2000-01-03 12:26:34,418,Sport
17,2000-01-03 15:03:36,95,Sleeping
18,2000-01-04 02:29:35,255,Work
19,2000-01-04 05:29:32,105,Sleeping
20,2000-01-04 06:09:29,303,Sick
21,2000-01-04 12:05:15,392,Sleeping
22,2000-01-04 12:09:49,135,Sport
23,2000-01-04 19:07:53,476,Sick
24,2000-01-04 20:19:11,64,Sleeping
25,2000-01-04 23:31:45,402,Sleeping
26,2000-01-05 00:49:13,350,Sick
27,2000-01-05 03:50:13,315,Sleeping
28,2000-01-05 06:38:57,334,Sleeping
29,2000-01-05 14:48:29,446,Bored
30,2000-01-05 15:26:35,136,Work
31,2000-01-05 18:52:26,322,Sport
32,2000-01-05 20:52:58,274,Travel
33,2000-01-05 22:07:53,427,Sick
34,2000-01-05 22:12:55,18,Hospital
35,2000-01-06 00:28:51,238,Sleeping
36,2000-01-06 01:18:14,484,Sleeping
37,2000-01-06 04:50:43,478,Home
38,2000-01-06 12:51:54,117,Sick
39,2000-01-06 15:40:54,198,Travel
40,2000-01-06 16:11:45,329,Sport
41,2000-01-06 16:21:27,174,Work
42,2000-01-06 17:08:37,493,Sleeping
43,2000-01-06 19:23:44,76,Sick
44,2000-01-06 19:50:10,497,Home
45,2000-01-06 20:42:32,297,Sick
46,2000-01-07 04:38:05,191,Sleeping
47,2000-01-07 08:13:30,478,Sick
48,2000-01-07 11:45:36,161,Sleeping
49,2000-01-07 12:40:19,428,Sleeping
50,2000-01-07 13:37:00,152,Sick
51,2000-01-07 14:09:08,113,Eating
52,2000-01-07 15:10:26,385,Sick
53,2000-01-08 00:06:30,57,Sick
54,2000-01-08 00:32:37,274,Sport
55,2000-01-08 00:51:01,71,Sleeping
56,2000-01-08 04:30:49,217,Sleeping
57,2000-01-08 07:54:32,247,Eating
58,2000-01-08 09:00:49,1,Sick
59,2000-01-08 11:01:06,76,Work
60,2000-01-08 12:50:56,487,Home
61,2000-01-08 13:59:42,173,Sport
62,2000-01-08 15:40:26,488,Sick
63,2000-01-08 16:50:59,392,Travel
64,2000-01-08 20:00:18,163,Sick
65,2000-01-08 21:22:32,70,Sleeping
66,2000-01-08 22:15:35,141,Sick
67,2000-01-09 04:57:19,190,Sick
68,2000-01-09 07:56:50,130,Sick
69,2000-01-09 08:10:23,450,Sport
70,2000-01-09 10:17:32,281,Sick
71,2000-01-09 10:35:30,255,Sleeping
72,2000-01-09 11:22:32,233,Home
73,2000-01-09 15:15:44,28,Sleeping
74,2000-01-09 17:32:46,191,Bored
75,2000-01-09 18:29:10,329,Travel
76,2000-01-09 18:33:20,98,Sleeping
77,2000-01-10 00:24:16,53,Sick
78,2000-01-10 01:45:09,362,Eating
79,2000-01-10 03:17:02,131,Sleeping
80,2000-01-10 04:44:10,426,Sick
81,2000-01-10 05:32:16,125,Sleeping
82,2000-01-10 05:55:53,97,Sleeping
83,2000-01-10 07:57:42,174,Sick
84,2000-01-10 08:36:17,467,Eating
85,2000-01-10 13:05:41,447,Sleeping
86,2000-01-10 13:43:46,446,Sport
87,2000-01-10 15:45:33,434,Eating
88,2000-01-11 00:08:12,339,Sport
89,2000-01-11 00:22:28,69,Bored
90,2000-01-11 01:50:02,58,Sick
91,2000-01-11 04:26:08,5,Home
92,2000-01-11 05:05:30,390,Sleeping
93,2000-01-11 07:47:17,177,Sleeping
94,2000-01-11 08:51:30,15,Sport
95,2000-01-11 15:19:17,270,Sleeping
96,2000-01-11 15:28:41,379,Eating
97,2000-01-11 16:57:04,189,Sport
98,2000-01-11 18:00:43,29,Eating
99,2000-01-12 02:38:32,281,Sick
100,2000-01-12 05:52:59,178,Travel
101,2000-01-12 09:39:15,59,Eating
102,2000-01-12 10:20:03,18,Work
103,2000-01-12 11:16:11,452,Sick
104,2000-01-12 17:13:56,423,Sick
105,2000-01-12 18:29:21,56,Sick
106,2000-01-12 18:42:07,76,Home
107,2000-01-12 19:23:17,31,Eating
108,2000-01-12 20:33:45,183,Sleeping
109,2000-01-12 21:24:03,104,Sleeping
110,2000-01-12 23:57:56,135,Travel
111,2000-01-13 01:15:55,319,Sleeping
112,2000-01-13 01:52:24,232,Sleeping
113,2000-01-13 04:15:18,423,Home
114,2000-01-13 07:22:02,276,Sick
115,2000-01-13 08:50:49,466,Sleeping
116,2000-01-13 11:52:53,225,Sick
117,2000-01-13 15:59:18,301,Work
118,2000-01-13 19:03:51,63,Sleeping
119,2000-01-13 19:29:10,180,Work
120,2000-01-13 20:44:04,478,Travel
121,2000-01-14 00:24:20,91,Bored
122,2000-01-14 09:13:33,210,Sleeping
123,2000-01-14 12:05:51,228,Eating
124,2000-01-14 21:56:08,45,Sleeping
125,2000-01-15 00:40:25,216,Sleeping
126,2000-01-15 02:21:48,405,Work
127,2000-01-15 03:00:56,90,Bored
128,2000-01-15 03:17:41,496,Sick
129,2000-01-15 06:19:52,80,Eating
130,2000-01-15 06:40:58,31,Travel
131,2000-01-15 07:16:36,235,Work
132,2000-01-15 19:07:35,155,Sport
133,2000-01-15 20:14:58,395,Sleeping
134,2000-01-16 00:34:45,406,Eating
135,2000-01-16 03:02:28,280,Sleeping
136,2000-01-16 05:36:08,80,Sick
137,2000-01-16 06:49:21,421,Sick
138,2000-01-16 08:42:29,192,Sick
139,2000-01-16 09:14:25,321,Home
140,2000-01-16 09:46:36,12,Sleeping
141,2000-01-16 10:05:10,29,Travel
142,2000-01-16 14:54:40,476,Sick
143,2000-01-16 22:43:03,362,Home
144,2000-01-17 02:14:07,467,Travel
145,2000-01-17 02:20:32,150,Sick
146,2000-01-17 05:35:59,224,Work
147,2000-01-17 05:44:35,383,Sleeping
148,2000-01-17 07:01:53,261,Work
149,2000-01-17 10:17:25,295,Sport
150,2000-01-17 14:18:48,29,Work
151,2000-01-17 17:45:46,43,Travel
152,2000-01-17 18:53:45,16,Home
153,2000-01-18 00:28:50,161,Home
154,2000-01-18 03:15:57,353,Hospital
155,2000-01-18 05:59:12,247,Sleeping
156,2000-01-18 08:59:36,209,Bored
157,2000-01-18 10:52:16,181,Sick
158,2000-01-18 14:44:58,33,Sick
159,2000-01-18 19:19:31,244,Sleeping
160,2000-01-18 20:02:58,45,Sleeping
161,2000-01-18 21:19:02,148,Sleeping
162,2000-01-18 23:03:43,198,Travel
163,2000-01-18 23:15:15,308,Sleeping
164,2000-01-19 05:17:35,370,Home
165,2000-01-19 05:52:31,255,Travel
166,2000-01-19 06:34:40,257,Sick
167,2000-01-19 12:54:30,411,Sick
168,2000-01-19 12:56:39,264,Sleeping
169,2000-01-19 14:39:11,65,Work
170,2000-01-19 15:19:50,142,Work
171,2000-01-19 22:02:20,373,Travel
172,2000-01-20 05:18:15,401,Sick
173,2000-01-20 05:50:55,368,Sport
174,2000-01-20 06:40:56,413,Sick
175,2000-01-20 08:27:44,313,Sick
176,2000-01-20 12:10:50,347,Sleeping
177,2000-01-20 15:05:34,330,Eating
178,2000-01-20 17:28:54,13,Work
179,2000-01-20 19:06:13,137,Travel
180,2000-01-21 00:42:08,152,Sick
181,2000-01-21 01:45:29,412,Sick
182,2000-01-21 02:34:39,86,Sleeping
183,2000-01-21 03:34:07,121,Sick
184,2000-01-21 04:50:27,268,Sick
185,2000-01-21 04:54:27,218,Sleeping
186,2000-01-21 10:38:42,29,Sleeping
187,2000-01-21 11:11:17,347,Sick
188,2000-01-21 11:34:43,253,Sick
189,2000-01-21 15:14:59,107,Sleeping
190,2000-01-21 19:42:53,332,Bored
191,2000-01-21 21:08:36,223,Sick
192,2000-01-22 00:07:17,175,Work
193,2000-01-22 03:12:59,319,Travel
194,2000-01-22 03:51:51,484,Travel
195,2000-01-22 12:15:30,396,Sleeping
196,2000-01-22 18:58:48,222,Sleeping
197,2000-01-22 22:29:28,191,Sick
198,2000-01-23 01:13:13,112,Sick
199,2000-01-23 04:16:26,435,Bored
200,2000-01-23 06:48:48,220,Sick
201,2000-01-23 11:11:53,446,Sleeping
202,2000-01-23 13:55:04,1,Bored
203,2000-01-23 17:30:01,227,Sick
204,2000-01-23 18:51:02,405,Sleeping
205,2000-01-23 19:33:16,425,Sleeping
206,2000-01-23 21:10:11,210,Sleeping
207,2000-01-24 01:23:35,303,Sleeping
208,2000-01-24 01:28:27,152,Sick
209,2000-01-24 05:58:28,184,Work
210,2000-01-24 07:22:34,454,Sick
211,2000-01-24 12:00:22,189,Sleeping
212,2000-01-24 12:05:13,340,Sleeping
213,2000-01-24 12:12:54,415,Sick
214,2000-01-24 12:21:56,442,Sick
215,2000-01-24 14:26:47,204,Sleeping
216,2000-01-25 01:50:30,200,Sick
217,2000-01-25 07:31:31,250,Sick
218,2000-01-25 08:05:59,211,Sick
219,2000-01-25 08:56:26,6,Sleeping
220,2000-01-25 09:49:16,414,Bed
221,2000-01-25 15:32:27,161,Travel
222,2000-01-25 17:30:00,243,Sick
223,2000-01-25 19:05:30,276,Sport
224,2000-01-25 19:18:02,359,Sport
225,2000-01-26 02:40:13,178,Sleeping
226,2000-01-26 10:49:14,208,Sport
227,2000-01-26 14:55:14,223,Sleeping
228,2000-01-26 19:28:44,192,Sleeping
229,2000-01-27 03:07:20,133,Sick
230,2000-01-27 03:46:01,452,Travel
231,2000-01-27 06:48:16,182,Sport
232,2000-01-27 07:31:23,368,Sport
233,2000-01-27 11:48:02,306,Sport
234,2000-01-27 13:44:11,18,Travel
235,2000-01-27 16:01:52,141,Hospital
236,2000-01-27 19:42:28,142,Sick
237,2000-01-27 20:27:04,142,Sleeping
